"iter","beta","se","variable"
36,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
37,0.890248666164788,0.149629905951424,"delta_RP_diff"
37,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
38,0.890248666164788,0.149629905951424,"delta_RP_diff"
38,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
39,0.890248666164788,0.149629905951424,"delta_RP_diff"
39,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
40,0.890248666164788,0.149629905951424,"delta_RP_diff"
40,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
41,0.890248666164788,0.149629905951424,"delta_RP_diff"
41,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
42,0.890248666164788,0.149629905951424,"delta_RP_diff"
42,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
43,0.890248666164788,0.149629905951424,"delta_RP_diff"
43,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
44,0.890248666164788,0.149629905951424,"delta_RP_diff"
44,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
45,0.890248666164788,0.149629905951424,"delta_RP_diff"
45,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
46,0.890248666164788,0.149629905951424,"delta_RP_diff"
46,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
47,0.890248666164788,0.149629905951424,"delta_RP_diff"
47,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
48,0.890248666164788,0.149629905951424,"delta_RP_diff"
48,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
49,0.890248666164788,0.149629905951424,"delta_RP_diff"
49,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
50,0.890248666164788,0.149629905951424,"delta_RP_diff"
50,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
51,0.890248666164788,0.149629905951424,"delta_RP_diff"
51,0.0370751143133617,0.0313502780778267,"rain_cumdev_diff"
